assetId,kind,mediaType,byteSize,sha256,duplicateGroup,language,rightsStatus,recommendedDisposition,futureObjectKeyHint
mig003-unknown-05c991d23018ab05,unknown,application/octet-stream,317,05c991d23018ab059f7c18e12361da04d7693ff5192606dc64154d95a4df8efa,dg-000067,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/05c991d23018ab05.json
mig003-unknown-bc404f9110508881,unknown,application/octet-stream,1734,bc404f91105088812f517862368c5d17123eeee666bf32915594a8fed5099991,dg-000068,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/bc404f9110508881.js
mig003-unknown-1b881ef4d42e0b66,unknown,application/octet-stream,1642,1b881ef4d42e0b669af0e7a3afd69bf1e833658ed26c54589b4185deb86b2e8c,dg-000069,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/1b881ef4d42e0b66.yml
mig003-unknown-a923f38272591133,unknown,application/octet-stream,4336,a923f382725911335cba80432812ba43591950f80c20283b4feee7b13c176723,dg-000070,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/a923f38272591133.sql
mig003-unknown-d0b010e57d1b0b04,unknown,application/octet-stream,5545,d0b010e57d1b0b049ddc8237716382e1dc6d49f57b93587be99fe338f1c12db1,dg-000071,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/d0b010e57d1b0b04.md
mig003-unknown-879fe9511799c310,unknown,application/octet-stream,485,879fe9511799c310b87e5e13bdcda28c64f3c30e84504e3bf1641a131f7d05c1,dg-000072,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/879fe9511799c310.sh
mig003-unknown-5ebae47dd5a12929,unknown,application/octet-stream,415,5ebae47dd5a129293a2b3b5056fe21d0e212058d5eb6a84bf57053fb53ee39f3,dg-000073,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/5ebae47dd5a12929.sh
mig003-unknown-83185ca95f367492,unknown,application/octet-stream,163,83185ca95f3674922115f71cabf5cd36e6a2270429819d4bdfd8be1a32ab1ba8,dg-000074,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/83185ca95f367492.bin
mig003-unknown-484a53ec3ef30163,unknown,application/octet-stream,351,484a53ec3ef30163b39791c2f6b8b023d58fa8df38ce347f6e2e4e763aac7bf7,dg-000075,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/484a53ec3ef30163.json
mig003-unknown-eb87307a05be8b42,unknown,application/octet-stream,163,eb87307a05be8b42ef82b090517a3e3924112800eb2a87fdd9e957b1726ab8aa,dg-000076,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/eb87307a05be8b42.bin
mig003-unknown-e4c22b896d3ae345,unknown,application/octet-stream,380,e4c22b896d3ae34536aca4d3f454afd09aa89906a712fbbd61b473224374db0b,dg-000077,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/e4c22b896d3ae345.json
mig003-unknown-d8cc2f3a13fd826c,unknown,application/octet-stream,90,d8cc2f3a13fd826c883c2923ae68eebfd37b49ea6ad949fb8dab019e45ae7c4f,dg-000078,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/d8cc2f3a13fd826c.json
mig003-unknown-11ecc4ed5ba6b58d,unknown,application/octet-stream,62063,11ecc4ed5ba6b58d0c9fae0845a98123781edf0944b293c70ec3a91d0f1ba49c,dg-000079,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/11ecc4ed5ba6b58d.json
mig003-unknown-8688ad3517d2f7e7,unknown,application/octet-stream,602,8688ad3517d2f7e7702cb6ae5708f016f460cc050b48d48cea5d1fc4e550cfc4,dg-000080,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/8688ad3517d2f7e7.json
mig003-unknown-8f51f942e89e558d,unknown,application/octet-stream,2534,8f51f942e89e558d4de305582a621c57f0b4c8dcd52f9c6505b5db0f1e46d15c,dg-000081,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/8f51f942e89e558d.md
mig003-unknown-c66c48bcc2e3ba75,unknown,application/octet-stream,34118,c66c48bcc2e3ba7525151729e4058b00713f906ef8dab4b3af40397777dd51be,dg-000082,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/c66c48bcc2e3ba75.html
mig003-unknown-eaf12935744f1727,unknown,application/octet-stream,25492,eaf12935744f1727708f33d77ceeb6a28f7bc8b64442226c0fe1f84e3cbebf84,dg-000083,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/eaf12935744f1727.html
mig003-unknown-1261876c9d73a093,unknown,application/octet-stream,32630,1261876c9d73a0937c2186edb2816c2e0d86bca4d2278bdbc80fd9376e57ae3f,dg-000084,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/1261876c9d73a093.html
mig003-unknown-52a051915065f3da,unknown,application/octet-stream,31736,52a051915065f3da48469d0a3d1d2fbe2623fa5013dfb9796a508bba2368c464,dg-000085,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/52a051915065f3da.html
mig003-unknown-f078d676966f6193,unknown,application/octet-stream,24547,f078d676966f61936672fd594e614907454809520d2bf4e855ab3db85ecc1fd9,dg-000086,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/f078d676966f6193.css
mig003-unknown-c6fe140289f4d7b0,unknown,application/octet-stream,5034,c6fe140289f4d7b0c2eb010dba19ab52c281f995bd069d013f6f17385d3e255a,dg-000087,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/c6fe140289f4d7b0.js
mig003-unknown-250aac4c674413bf,unknown,application/octet-stream,10222,250aac4c674413bfea41f195e7432c6d9185e8b856b4e04fecdc49e34c26319f,dg-000088,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/250aac4c674413bf.js
mig003-unknown-f26ca49908695f5e,unknown,application/octet-stream,16865,f26ca49908695f5e77449793b9eee3c27dd3d89c35ec9018689c3227869c6013,dg-000089,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/f26ca49908695f5e.js
mig003-document-fad1a90510a5a471,document,text/vtt,1091,fad1a90510a5a471f61b273637d04eba2c65056909af81ce76bd760563b37290,dg-000090,bo,APPROVED,MIGRATE,mig003/document/bo/fad1a90510a5a471.vtt
mig003-document-6c7a33fefc90d518,document,text/vtt,314,6c7a33fefc90d51834d54d20d21b18279e963ec7b4647656881e74a10305222b,dg-000091,zh,APPROVED,MIGRATE,mig003/document/zh/6c7a33fefc90d518.vtt
mig003-unknown-7e3b9fcf6d6eff29,unknown,application/octet-stream,1146,7e3b9fcf6d6eff29e029980587f8c9a45cc538f471bc93a562515f081ddf8db5,dg-000092,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/7e3b9fcf6d6eff29.md
mig003-unknown-d3df711b55b3108c,unknown,application/octet-stream,43577,d3df711b55b3108c035be0daa7d407ea300532b5b5b75d855f0c6eed97bca603,dg-000093,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/d3df711b55b3108c.js
mig003-unknown-84617fbbd5ec2a3b,unknown,application/octet-stream,36219,84617fbbd5ec2a3b71ef2aeac6aea5721b1de9c3acb3377445ca1f03d6b18adf,dg-000094,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/84617fbbd5ec2a3b.html
mig003-unknown-64ab7196398015d6,unknown,application/octet-stream,39869,64ab7196398015d679fb5ff5d7c645582ae89656db1db397f6b3e6a5c98181fe,dg-000095,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/64ab7196398015d6.html
mig003-unknown-007d595083afd326,unknown,application/octet-stream,51167,007d595083afd32610e3ac282988abfab421aaeba4b21dd97f82f7509d2cac7b,dg-000096,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/007d595083afd326.html
mig003-unknown-edc4cf80014eeeaf,unknown,application/octet-stream,46952,edc4cf80014eeeafb141144c435f8cbfbab5f9448d1444072743cf4c0965a356,dg-000097,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/edc4cf80014eeeaf.html
mig003-document-466e84debc0eb224,document,application/octet-stream,6838,466e84debc0eb224ba1e9d8f62eeb50fe09d3ee9701fb301ef080e5abbb48afe,dg-000098,zh,UNKNOWN,REVIEW,mig003/document/zh/466e84debc0eb224.txt
mig003-unknown-101107a79e6fc0e6,unknown,application/octet-stream,2149,101107a79e6fc0e666ee034880a9c7c48f9a06ecce802f7c14aca7c2b740de3b,dg-000099,zh,UNKNOWN,REVIEW,mig003/unknown/zh/101107a79e6fc0e6.js
mig003-unknown-b66add35a9fb0d05,unknown,application/octet-stream,127737,b66add35a9fb0d0543e7264358a71f194af7b00971c7213d55a504093b543caa,dg-000100,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/b66add35a9fb0d05.m
mig003-unknown-53e408e82086c936,unknown,application/octet-stream,31818,53e408e82086c93646675f76d501e5ba17a890280f10a53c8fc49b2c453f7f20,dg-000101,bo,UNKNOWN,REVIEW,mig003/unknown/bo/53e408e82086c936.js
mig003-unknown-2fd374d54d5fe8e6,unknown,application/octet-stream,31172,2fd374d54d5fe8e68d0c8da73bbd4061d21643de8da9b6d3325f1c7356a29526,dg-000102,bo,UNKNOWN,REVIEW,mig003/unknown/bo/2fd374d54d5fe8e6.m
mig003-image-b3647c374ef73a46,image,image/png,58514,b3647c374ef73a46031d9a70321c077e775bf92dbf89ee3fa0106ae930e705a9,dg-000023,unknown,UNKNOWN,DUPLICATE,mig003/image/unknown/b3647c374ef73a46.png
mig003-image-01e9f8ea9268bb3b,image,image/png,519029,01e9f8ea9268bb3b0ad8407ec505e86c617067ef3698797964ef96d1c188b067,dg-000103,unknown,UNKNOWN,REVIEW,mig003/image/unknown/01e9f8ea9268bb3b.png
mig003-unknown-bc3a45b7969bc26c,unknown,application/octet-stream,60933,bc3a45b7969bc26cfd23bb62cb1ec504bacca8b81dab6e2c2d820511d19113c2,dg-000104,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/bc3a45b7969bc26c.html
mig003-unknown-f44aac99d8b660fb,unknown,application/octet-stream,38498,f44aac99d8b660fbded09e2ef9053dc48c597011879384bc3a5e7c426fd7206a,dg-000105,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/f44aac99d8b660fb.html
